,Name,Elo,Matches
852,Jacob Kaye,1486.316464,1
109,Chuck Coates,1486.306878,1
184,Damien DeNucci,1486.297218,1
696,Sunny,1486.288347,1
714,Danny Danger,1486.249453,1
254,John Pinzaro,1486.241338,1
166,Mike Hunter,1486.230462,1
670,Jon Davis,1486.184781,1
218,Slater Vain,1486.137701,1
686,Adam Evans,1486.130911,1
322,Jimmy Rave,1486.11646,1
666,Brett Badery,1486.098294,1
734,Alex Reynolds,1486.098294,1
242,Tony Salantri,1485.932971,1
723,J. T. Quinn,1485.921071,1
449,Frankie Kaiatsu,1485.920986,1
470,Brian Jennings,1485.912481,1
47,D-Von Dudley,1485.883093,94
641,CK3,1485.880371,1
198,Kevin Night,1485.871395,1
337,Mikey Whiplash,1485.803238,1
542,El Grande Latte,1485.740717,1
364,Talia,1485.709718,1
850,Danny Lerman,1485.666716,1
197,Roman Zachako,1485.655216,1
695,Terri Runnels,1485.636954,1
798,Max Bauer,1485.629283,1
216,Derock Neikirk,1485.52913,1
642,Jeff McAllister,1485.452645,1
476,Lawrence Tyler,1485.440113,1
286,Eddie Watts,1485.439282,1
595,Skinner,1485.435873,1
632,Leroy Kincaid,1485.435873,1
663,Lenny Lane,1485.435873,1
692,Matt Boyce,1485.435873,1
733,Johnny Andrews,1485.435873,1
380,Malik John,1485.387646,1
458,Chandler McClure,1485.23943,1
200,Mike Noe,1485.230009,1
583,Conrad Carr,1485.19214,1
110,Danny DeNucci,1485.142621,1
429,Justin Pancano,1485.128191,1
560,Danny Shanley,1485.1275,1
567,Zokre,1485.126901,1
333,Brett Matthews,1485.124012,1
325,John Blitzen,1485.118779,1
509,Phil Friedman,1485.044975,1
417,Chris Chaos,1485.020563,1
849,Benny Camer,1484.979853,1
710,Jack Mecidol,1484.943293,1
506,Dustin Starr,1484.939908,1
161,Tanya Ballinger,1484.934472,1
451,Chris Valenzuela,1484.901489,1
137,River Rat,1484.85827,1
284,Mike Kirkhart,1484.739901,1
594,Steve Blackman,1484.736307,1
629,Matt Logan,1484.736307,1
676,Jared Ganim,1484.736307,1
691,Clayton Matthews,1484.736307,1
712,Roman Cornell,1484.736307,1
731,Jason Blackwell,1484.736307,1
373,J. P. Parsonage,1484.685461,1
582,Jesse,1484.663141,42
421,Ray Gordy,1484.638442,1
579,Nick Colucci,1484.591265,1
555,Wyatt Lara,1484.586217,1
114,Johnny Slaughter,1484.570834,1
510,Christopher W. Anderson,1484.562957,1
774,J. D. Michaels,1484.532099,1
719,Rory Fargo,1484.48213,1
97,Mike Owens,1484.457538,1
497,Rory McAllister,1484.411066,60
298,A-1,1484.396692,1
495,Macho Libre,1484.394962,1
455,Road Warrior,1484.376788,6
468,Steve Lewington,1484.368251,1
120,Vinny Valentino,1484.298355,1
88,Doug Basham,1484.289265,106
847,Barry Stevens,1484.256022,1
447,Dorian Deville,1484.173606,1
758,Jesse Guyver,1484.168765,1
375,Kamala,1484.141146,2
180,J. R. Ryder,1484.119289,1
426,Juan Xavier,1484.040346,1
269,Rory McGregor,1484.039958,1
257,Brent Albright,1484.013566,1
3,Linda Miles,1484,5
5,Hugh Morrus,1484,1
51,The Prototype,1484,1
83,Howard Finkel,1484,1
250,Yoshihiro Tajiri,1484,3
256,Ricky Vega,1484,1
290,Carmella DeCesare,1484,1
327,Fast Eddie Vegas,1484,1
369,Matt McChesney,1484,1
379,George Terzis,1484,1
405,Pitbull Patterson,1484,1
410,Kevin Martinson,1484,1
415,Todd Stone,1484,1
515,Francine,1484,1
531,"""Rosie O'Donnell""",1484,1
557,Little Boogeyman,1484,1
565,Tim Storm,1484,1
593,The Goon,1484,1
628,Matt Bentley,1484,1
634,Fake Hilary Clinton,1484,1
675,Sal Rinauro,1484,1
690,Bao Nguyen,1484,1
708,Oliver John,1484,1
727,Logan Jones,1484,1
805,Peter Orlov,1484,1
868,Pepper Parks,1484,1
42,X-Pac,1483.966092,7
444,Scotty Matthews,1483.955579,1
371,Vic D. Vine,1483.946594,1
386,Nigel McGuinness,1483.944019,1
423,Scotty Sabre,1483.937416,1
235,Masada,1483.867596,1
914,Bull Dempsey,1483.817215,1
591,Jeff Lewis,1483.796963,1
717,Tom James,1483.785451,1
438,David Flair,1483.76193,1
381,Brad Taylor,1483.761731,1
296,Steven Lee,1483.643592,1
492,The Zombie,1483.641778,1
541,Judas Young,1483.622235,1
306,Mike Mizanin,1483.608569,1
158,Nova,1483.56495,3
853,Josh Shields,1483.519835,1
433,Michael Youngblood,1483.376766,1
324,Robert Adams,1483.333827,1
207,The Easter Bunny,1483.3213,1
177,Mike Bartilucci,1483.222352,1
126,Derek Selsvold,1483.115974,1
576,Shawn Spears,1483.102687,1
811,Derrick Neikirk,1483.049579,1
864,Sami Callihan,1483.045973,1
446,Sean Patrick,1483.022907,1
704,Dustin Carwile,1482.844636,1
215,Jackie Gayda,1482.741957,11
558,Lex Lovett,1482.659056,1
347,Alex Shelley,1482.57248,1
194,Mae Young,1482.53699,5
424,Todd Henson,1482.474046,1
874,Oliver Grey,1482.469006,1
169,Shark Boy,1482.417216,1
872,Mark Jinks,1482.364516,1
425,Tommaso Whitney,1482.304549,1
657,R-Truth,1482.18577,683
488,Mercedes Martinez,1482.061122,1
390,Robbie Dawber,1482.026701,1
703,Adam Green,1482.024965,1
543,Mike Tolar,1482.019852,1
229,Rob Begley,1481.969577,1
474,Melissa Anderson,1481.908916,1
214,Randy Anderson,1481.884043,1
258,Slam Shady,1481.84093,1
186,Carly Colon,1481.829289,1
219,Jimmy Yang,1481.662329,1
162,Buddy Wayne,1481.643124,1
842,Camacho,1481.599666,6
878,Dante Dash,1481.508067,1
