SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Offensive ,Switch in EPA
2014,18,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,1,0,0,,35,OWN,0,PHI,0,OFFENSIVE HOLDING,0,PHI,-4.38
2014,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,17,OWN,0,,0,,0,PHI,-1.22
2014,0,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,1,0,,0,1,0,0,0,0,,22,OPP,0,,0,,0,SD,-4.28
2014,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,1,0,0,,24,OPP,1,DAL,0,PERSONAL FOUL,5,JAC,-2.8
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,CIN,-4.28
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,TB,-2.46
2014,82,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,18,OPP,0,,0,,0,CHI,-10.41
2014,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,32,OWN,0,,0,,0,DEN,-5.57
2014,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,21,OWN,0,,0,,0,HOU,-4.32
2014,56,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,48,OPP,0,,0,,0,MIN,-5.75
2014,9,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,1,1,,0,1,0,0,0,0,,16,OPP,0,,0,,0,NO,-2.61
2014,38,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,26,OWN,0,,0,,0,DAL,-3.56
2014,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,18,OWN,0,,0,,0,SEA,-4.05
2014,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,1,0,0,0,,39,OWN,0,,0,,0,STL,-4.2
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,BUF,-3.14
2014,0,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,10,OWN,0,,0,,0,TB,-2.19
2014,3,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,DEN,-4.4
2014,45,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,47,OWN,0,,0,,0,ATL,-7.21
2014,13,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,14,OPP,0,,0,,0,PIT,-5.44
2014,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,22,OWN,0,,0,,0,IND,-4.01
2014,88,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,25,OPP,0,,0,,0,ATL,-10.61
2014,1,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,18,OPP,0,,0,,0,DET,-2.38
2014,10,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,MIA,-2.43
2014,31,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,45,OWN,0,,0,,0,TB,-4.51
